"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 18:31:08 GMT 2023","Thu Sep 07 18:31:08 GMT 2023","136","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_empty_token",""
"passed","Thu Sep 07 18:31:11 GMT 2023","Thu Sep 07 18:31:11 GMT 2023","540","test","register_user_test","TestRegisterUser","","","test_register_invalid_email",""
"passed","Thu Sep 07 18:31:03 GMT 2023","Thu Sep 07 18:31:04 GMT 2023","771","test","create_notes_test","TestCreateNotes","","","test_create_new_note",""
"passed","Thu Sep 07 18:31:07 GMT 2023","Thu Sep 07 18:31:08 GMT 2023","394","test","delete_note_test","TestDeleteNote","","","test_delete_empty_token",""
"passed","Thu Sep 07 18:31:13 GMT 2023","Thu Sep 07 18:31:13 GMT 2023","168","test","user_profile_test","TestUserProfile","","","test_invalid_auth_token",""
"passed","Thu Sep 07 18:31:10 GMT 2023","Thu Sep 07 18:31:10 GMT 2023","172","test","login_user_test","TestLoginUser","","","test_incorrect_password",""
"passed","Thu Sep 07 18:31:08 GMT 2023","Thu Sep 07 18:31:09 GMT 2023","450","test","get_notes_test","TestGetNotes","","","test_get_note_by_id",""
"passed","Thu Sep 07 18:31:09 GMT 2023","Thu Sep 07 18:31:10 GMT 2023","419","test","login_user_test","TestLoginUser","","","test_invalid_password",""
"passed","Thu Sep 07 18:31:09 GMT 2023","Thu Sep 07 18:31:09 GMT 2023","557","test","login_user_test","TestLoginUser","","","test_invalid_email",""
"passed","Thu Sep 07 18:31:04 GMT 2023","Thu Sep 07 18:31:05 GMT 2023","512","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_title",""
"passed","Thu Sep 07 18:31:13 GMT 2023","Thu Sep 07 18:31:13 GMT 2023","204","test","user_profile_test","TestUserProfile","","","test_get_user_profile",""
"passed","Thu Sep 07 18:31:06 GMT 2023","Thu Sep 07 18:31:07 GMT 2023","701","test","delete_note_test","TestDeleteNote","","","test_delete_note_exists",""
"passed","Thu Sep 07 18:31:10 GMT 2023","Thu Sep 07 18:31:11 GMT 2023","340","test","register_user_test","TestRegisterUser","","","test_register_duplicate_email",""
"passed","Thu Sep 07 18:31:13 GMT 2023","Thu Sep 07 18:31:13 GMT 2023","131","test","user_profile_test","TestUserProfile","","","test_empty_auth_token",""
"passed","Thu Sep 07 18:31:06 GMT 2023","Thu Sep 07 18:31:06 GMT 2023","135","test","create_notes_test","TestCreateNotes","","","test_create_note_empty_token",""
"passed","Thu Sep 07 18:31:05 GMT 2023","Thu Sep 07 18:31:06 GMT 2023","333","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_category",""
"passed","Thu Sep 07 18:31:06 GMT 2023","Thu Sep 07 18:31:06 GMT 2023","492","test","delete_note_test","TestDeleteNote","","","test_delete_note_resp",""
"passed","Thu Sep 07 18:31:11 GMT 2023","Thu Sep 07 18:31:12 GMT 2023","434","test","register_user_test","TestRegisterUser","","","test_register_invalid_name",""
"passed","Thu Sep 07 18:31:06 GMT 2023","Thu Sep 07 18:31:06 GMT 2023","170","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_token",""
"passed","Thu Sep 07 18:31:12 GMT 2023","Thu Sep 07 18:31:12 GMT 2023","408","test","register_user_test","TestRegisterUser","","","test_register_invalid_password",""
"passed","Thu Sep 07 18:31:10 GMT 2023","Thu Sep 07 18:31:10 GMT 2023","295","test","register_user_test","TestRegisterUser","","","test_register_new_user",""
"passed","Thu Sep 07 18:31:12 GMT 2023","Thu Sep 07 18:31:13 GMT 2023","244","test","update_user_profile_test","TestUpdateUserProfile","","","test_update_user_name",""
"passed","Thu Sep 07 18:31:08 GMT 2023","Thu Sep 07 18:31:08 GMT 2023","417","test","delete_note_test","TestDeleteNote","","","test_delete_invalid_token",""
"passed","Thu Sep 07 18:31:08 GMT 2023","Thu Sep 07 18:31:08 GMT 2023","204","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes",""
"passed","Thu Sep 07 18:31:08 GMT 2023","Thu Sep 07 18:31:08 GMT 2023","164","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_invalid_token",""
"passed","Thu Sep 07 18:31:09 GMT 2023","Thu Sep 07 18:31:09 GMT 2023","0","test","login_user_test","TestLoginUser","","","test_user_login",""
"passed","Thu Sep 07 18:31:05 GMT 2023","Thu Sep 07 18:31:05 GMT 2023","565","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_desc",""
